firstname,lastname,url,party,twitter
Doug,Henderson,uk.org.publicwhip/member/1731,Lab
Doug,Naysmith,uk.org.publicwhip/member/1456,Lab
Douglas,Alexander,uk.org.publicwhip/member/2008,Lab
Edward,O'Hara,uk.org.publicwhip/member/1665,Lab
Emily,Thornberry,uk.org.publicwhip/member/1656,Lab
Eric,Illsley,uk.org.publicwhip/member/1384,Lab
Eric,Martlew,uk.org.publicwhip/member/1484,Lab
Fabian,Hamilton,uk.org.publicwhip/member/1671,Lab
Fiona,Mactaggart,uk.org.publicwhip/member/1822,Lab
Frank,Cook,uk.org.publicwhip/member/1839,Lab
Frank,Dobson,uk.org.publicwhip/member/1639,Lab
Frank,Doran,uk.org.publicwhip/member/1955,Lab
Frank,Roy,uk.org.publicwhip/member/2003,Lab
Fraser,Kemp,uk.org.publicwhip/member/1643,Lab
Gareth,Thomas,uk.org.publicwhip/member/1619,Lab
Gavin,Strang,uk.org.publicwhip/member/1978,Lab
Geoff,Hoon,uk.org.publicwhip/member/1378,Lab
Geoffrey,Robinson,uk.org.publicwhip/member/1517,Lab
George,Howarth,uk.org.publicwhip/member/1664,Lab
George,Mudie,uk.org.publicwhip/member/1670,Lab
Gerald,Kaufman,uk.org.publicwhip/member/1706,Lab
Geraldine,Smith,uk.org.publicwhip/member/1721,Lab
Gerry,Sutcliffe,uk.org.publicwhip/member/1441,Lab
Glenda,Jackson,uk.org.publicwhip/member/1614,Lab
Gordon,Banks,uk.org.publicwhip/member/2005,Lab
Gordon,Brown,uk.org.publicwhip/member/1997,Lab
Gordon,Marsden,uk.org.publicwhip/member/1425,Lab
Gordon,Prentice,uk.org.publicwhip/member/1757,Lab
Graham,Allen,uk.org.publicwhip/member/1747,Lab
Graham,Stringer,uk.org.publicwhip/member/1704,Lab
Greg,Pope,uk.org.publicwhip/member/1650,Lab
Gwyn,Prosser,uk.org.publicwhip/member/1550,Lab
Harry,Cohen,uk.org.publicwhip/member/1684,Lab
Helen,Goodman,uk.org.publicwhip/member/1421,Lab
Helen,Jones,uk.org.publicwhip/member/1907,Lab
Helen,Southworth,uk.org.publicwhip/member/1908,Lab
Hilary,Armstrong,uk.org.publicwhip/member/1557,Lab
Hilary,Benn,uk.org.publicwhip/member/1669,Lab
Howard,Stoate,uk.org.publicwhip/member/1528,Lab
Hugh,Bayley,uk.org.publicwhip/member/1953,Lab
Huw,Irranca-Davies,uk.org.publicwhip/member/1750,Lab
Hywel,Francis,uk.org.publicwhip/member/1368,Lab
Iain,Wright,uk.org.publicwhip/member/1620,Lab
Ian,Austin,uk.org.publicwhip/member/1553,Lab
Ian,Davidson,uk.org.publicwhip/member/1991,Lab
Ian,Lucas,uk.org.publicwhip/member/1947,Lab
Ian,McCartney,uk.org.publicwhip/member/1702,Lab
Ian,Pearson,uk.org.publicwhip/member/1554,Lab
Ian,Stewart,uk.org.publicwhip/member/1566,Lab
Ivan,Lewis,uk.org.publicwhip/member/1467,Lab
Jack,Straw,uk.org.publicwhip/member/1423,Lab
Jacqui,Smith,uk.org.publicwhip/member/1776,Lab
James,McGovern,uk.org.publicwhip/member/1974,Lab
Jamie,Reed,uk.org.publicwhip/member/1511,Lab
Jane,Kennedy,uk.org.publicwhip/member/1690,Lab
Janet,Anderson,uk.org.publicwhip/member/1788,Lab
Janet,Dean,uk.org.publicwhip/member/1465,Lab
Jeff,Ennis,uk.org.publicwhip/member/1385,Lab
